Query,Tab Complete,Regex Matches,Exact and Fuzzy Matches,Total Matches,Combined Search Time (ms),Merging Time (ms),Total Runtime (ms),,Result 1,Result 2,Result 3,Result 4,Result 5,Result 6,Result 7,Result 8,Result 9,Result 10,Result 11,Result 12,Result 13,Result 14,Result 15
aven,Avenue Montaigne,5,10,15,111.594611,0.269885,112.663541,,Avenue Montaigne,Avenged,Avengers: Age of Ultron,Avenged,Avengers Confidential: Black Widow & Punisher,The Toxic Avenger Part II,Ultimate Avengers II,The Toxic Avenger Part III: The Last Temptation of Toxie,Citizen Toxie: The Toxic Avenger IV,The Avengers,Ultimate Avengers,The Avengers,Blue Hill Avenue,It Happened on Fifth Avenue,The Prisoner of Second Avenue
The Mattrix,,0,15,15,215.408624,0.2138,216.537403,,The Matrix Reloaded,The Matrix Revolutions,The Matrix,The Mattei Affair,The Matrimony,The Matriarch,George Harrison: Living in the Material World,The Mating Season,The Mating Game,The Matchmaker,The Matador,The Matador,The Matchmaker,The Mating of Millie,The Match Factory Girl
Jurrasic Par,,0,15,15,108.431235,0.054898,108.62806,,Jurassic Park III,Jurassic Park III,Jurassic Park,Parasyte: Part 1,The Lost World: Jurassic Park,Paranoid Park,Pardon Mon Affaire,Paris Is Burning,"Paris, je t'aime",Paranormal Activity 2,Paranormal Activity 3,Paranormal Activity 4,Paris Belongs to Us,"Pardon Mon Affaire, Too!",The Park Is Mine
Titannic,,0,12,12,103.923003,0.034042,104.086673,,Raise the Titanic,Titanica,Titanic,Titanic,Titanic Town,The Chambermaid on the Titanic,The Ten Lives of Titanic the Cat,Clash of the Titans,Titan A.E.,Remember the Titans,Clash of the Titans,Wrath of the Titans,,,
The Godfathe,The Godfather,3,12,15,106.732332,0.097126,106.923726,,The Godfather,The Godfather: Part II,The Godfather: Part III,The Goddess,The Goddess,The Godsend,The Goddess,The Goddess of 1967,As the Gods Will,The Food of the Gods,The God of Cookery,The Gods Must Be Crazy,The Gods Must Be Crazy II,Hammer of the Gods,Stargate SG-1: Children of the Gods - Final Cut
Forrest Gump,Forrest Gump,1,14,15,97.635048,0.06276,97.807615,,Forrest Gump,Finding Forrester,Days and Nights in the Forest,Gumshoe,The Emerald Forest,Legend of the Forest,Grumpy Old Men,Once Upon a Forest,Grumpier Old Men,Forest Warrior,Forest Warrior,Gupt: The Hidden Truth,Gummo,The Forest,Gumnaam
Star Wars: A New Hop,,0,15,15,113.223264,0.044564,113.355592,,Star Wars: Episode IV - A New Hope,Star Wars: The Clone Wars,Robot Chicken: Star Wars,Star Wars: Episode I - The Phantom Menace,Star Wars: Episode V - The Empire Strikes Back,Star Wars: Episode VI - Return of the Jedi,Star Wars: Episode III - Revenge of the Sith,Star Wars: Episode II - Attack of the Clones,Empire of Dreams: The Story of the 'Star Wars' Trilogy,A Star Is Born,A Star Is Born,A New Leaf,A New Life,A Five Star Life,Waco: A New Revelation
The Shawshank Redemptio,The Shawshank Redemption,2,13,15,114.559446,0.04702,114.701736,,The Shawshank Redemption,The Shawshank Redemption,Redemption: The Stan Tookie Williams Story,The Raid: Redemption,The Redemption of General Butt Naked,In the Shadow of the Moon,The Shaggy Dog,The Shaolin Temple,The Shaggy Dog,The Shadow,The Shaman,The Shape of Things,As the Shadow,In the Shadow,In the Shadow
Pul Fiction,,0,15,15,103.435604,0.038133,103.82024,,Pulp Fiction,Samurai Fiction,Real Fiction,Science Fiction,Stranger Than Fiction,Harry Dean Stanton: Partly Fiction,Pull My Daisy,Pull My Daisy,"Pulp: a Film About Life, Death & Supermarkets",Pulse,Pulse,Pulse,Pulsar,The Perils of Pauline,The Public Enemy
The Lord of the Rngs: The Felloship of the Rin,,0,15,15,106.528007,0.040826,106.872088,,The Lord of the Rings,The Lord of the Rings: The Fellowship of the Ring,The Lord of the Rings: The Return of the King,The Lord of the Rings: The Two Towers,Edges of the Lord,Ringers: Lord of the Fans,At Play in the Fields of the Lord,The Lords of Salem,Lord of the Flies,Something the Lord Made,"Greystoke: The Legend of Tarzan, Lord of the Apes",Phantasm III: Lord of the Dead,Lord of Illusions,Lord of War,Lord of Darkness
The Dark Knigt,,0,15,15,125.664535,0.062666,126.1957,,The Dark Knight,The Dark Knight Rises,The Dark,The Dark,The Dark Angel,The Dark Crystal,The Dark Backward,The Dark Half,The Dark Backward,The Dark Diamond,The Dark Diamond,The Dark Hours,The Dark House,The Dark Horse,After the Dark
Fight Clu,Fight Club,1,14,15,98.804301,0.055226,99.030563,,Fight Club,Street Fight,Girl Fight,Fight Back to School,Why We Fight,Fight for Your Right Revisited,Muhammad Ali's Greatest Fight,Escape Fire: The Fight to Rescue American Healthcare,Ip Man: The Final Fight,Fighter in the Wind,Fighter Pilot: Operation Red Flag,Foo Fighters: Back and Forth,The Fighting Lady,The Fighting Temptations,A Fighting Man
Incepcion,,0,2,2,96.173823,0.012326,96.342125,,Inception,Incendies,,,,,,,,,,,,,
The Lion Kin,The Lion King,4,11,15,103.111402,0.062803,103.285422,,The Lion King,The Lion King 2: Simba's Pride,The Lion King 1 1/2,The Lion King 1 1/2,The Lion in Winter,The Wind and the Lion,"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",The Lion's Mouth Opens,White Lion,Kin-dza-dza!,Next of Kin,Next of Kin,Next of Kin,Ku! Kin-dza-dza,Son of a Lion
Harry Potter and the Philosopher's Ston,,0,15,15,143.652813,0.016553,143.753364,,Harry Potter and the Sorcerer's Stone,Harry Potter and the Chamber of Secrets,Harry Potter and the Prisoner of Azkaban,Harry Potter and the Goblet of Fire,Harry Potter and the Half-Blood Prince,Harry Potter and the Order of the Phoenix,Harry Potter and the Deathly Hallows: Part 1,Harry Potter and the Deathly Hallows: Part 2,Harry and the Hendersons,Harry and Tonto,Tom Dick and Harry,Dumb and Dumberer: When Harry Met Lloyd,Harry & Son,Who Is Harry Nilsson (And Why Is Everybody Talkin' About Him?),Who Is Harry Nilsson (And Why Is Everybody Talkin' About Him?)
The Aveners,,0,15,15,98.468751,0.039679,98.57065,,The Avengers,The Avengers,The Age of the Earth,The Overcoat,The Verdict,The Event,The Aviator,The American,The Ape,The Aviators,The Overnighters,The Overnight,The Decline of the American Empire,The Vertical Ray of the Sun,Battle for the Planet of the Apes
